trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.2, 'e': 0.2566607769535559}",20,8,21.957252865011686,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.25410695955280027}",25,8,-48.96618934331447,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
138,False,"{'a': 0.2, 'e': 0.25157855305975646}",30,20,-30.860336076663973,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.2, 'e': 0.24907530463166816}",25,3,-16.553918494562488,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.24659696394160643}",20,0,-96.08457469315029,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
141,False,"{'a': 0.2, 'e': 0.2441432831534371}",25,0,-38.80295825957518,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.2, 'e': 0.24171401689703645}",25,0,-34.07130780094107,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
143,False,"{'a': 0.2, 'e': 0.23930892224375455}",25,0,12.560536836494725,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.23692775868212176}",20,0,-25.904326593585196,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
145,False,"{'a': 0.2, 'e': 0.23457028809379765}",25,14,-10.178877887320901,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.23223627472975883}",25,10,-15.839400622989434,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.2, 'e': 0.22992548518672384}",25,13,10.855791942595154,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.22763768838381274}",25,0,21.803816704262633,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.2, 'e': 0.22537265553943872}",20,0,7.8569035972138215,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.2, 'e': 0.22313016014842982}",20,15,8.79330433063316,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.2209099779593782}",20,0,10.563248781802821,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.2, 'e': 0.21871188695221475}",30,12,-95.22755048693654,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
153,False,"{'a': 0.2, 'e': 0.21653566731600707}",30,1,-9.308361623312088,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.21438110142697794}",30,0,-13.244156447519522,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
155,False,"{'a': 0.2, 'e': 0.21224797382674304}",20,0,-35.708506007775085,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.2, 'e': 0.21013607120076472}",30,10,20.60876701239479,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.20804518235702046}",20,9,11.46173196934578,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.20597509820488344}",35,16,13.41005805464733,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.20392561173421342}",20,0,-22.975150078004212,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
160,False,"{'a': 0.2, 'e': 0.20189651799465538}",25,18,13.260833975026785,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.1998876140751445}",20,6,21.173431085766886,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.19789869908361465}",25,0,-45.50629343690182,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
163,False,"{'a': 0.2, 'e': 0.19592957412690934}",25,0,25.02114204557316,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
164,False,"{'a': 0.2, 'e': 0.19398004229089189}",20,12,13.944421766929047,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.19204990862075408}",20,0,-19.152631190766286,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
166,False,"{'a': 0.2, 'e': 0.1901389801015205}",30,8,16.890384133389684,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.1882470656387468}",20,0,-42.377103994950545,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
168,False,"{'a': 0.2, 'e': 0.18637397603940997}",25,0,-89.33509437970594,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
169,False,"{'a': 0.2, 'e': 0.18451952399298926}",20,0,-44.71026863278497,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.2, 'e': 0.18268352405273466}",20,6,13.578425949596161,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.1808657926171221}",25,13,-14.145554704797089,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.17906614791149322}",30,0,-55.376198186841776,"{0: 25, 1: 3, 2: 0, 3: 0, 4: 2}",0
173,False,"{'a': 0.2, 'e': 0.17728440996987782}",20,14,10.051293050135184,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.17552040061699686}",20,6,-0.6344803373996337,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.17377394345044514}",20,0,-95.22619695824484,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
176,False,"{'a': 0.2, 'e': 0.17204486382305054}",20,13,-33.20804581516319,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.2, 'e': 0.17033298882540943}",25,14,14.990455441604738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.1686381472685955}",25,0,-2.4111423881680034,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
179,False,"{'a': 0.2, 'e': 0.1669601696670407}",20,5,-7.605196685696002,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.16529888822158653}",20,10,6.7428119945284255,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.16365413680270405}",20,11,10.019648744734232,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.16202575093388075}",30,0,33.127126442240666,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.16041356777517274}",20,9,14.056134956970151,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
